country,iso2,language,doc_id,document_title,issuing_body,publication_date,unesco_cohort,genre,format,url,notes
Korea,KR,ko,KR-01,디지털 기반 교육혁신 방안,교육부 (Ministry of Education),2023-02-23,pre,strategy,pdf,https://webst.edunet.net/AIDT/%EB%94%94%EC%A7%80%ED%84%B8%20%EA%B8%B0%EB%B0%98%20%EA%B5%90%EC%9C%A1%ED%98%81%EC%8B%A0%20%EB%B0%A9%EC%95%88.pdf,교육부 boardSeq 페이지 삭제 → edunet.net AIDT 미러 PDF로 변경. 본문 전체 포함
Korea,KR,ko,KR-02,교육부 고시 제2022-33호 — 초·중등학교 교육과정 총론 (별책 1),교육부 (Ministry of Education),2022-12-22,pre,curriculum,pdf,https://ezentextbook.co.kr/data/skin/respon_default/doc/2022_edu_pdf01.pdf,교육부 boardSeq 페이지 삭제 → ezentextbook 제3자 미러 PDF로 변경. 정보과 + AI 융합 교육 트랙 포함된 공식 고시 본문
Korea,KR,ko,KR-03,디지털 기반 교육혁신 역량 강화 지원방안 (교실혁명 선도교사 사업),교육부 (Ministry of Education),2024-04-15,post,teacher_pd,pdf,https://eiec.kdi.re.kr/policy/callDownload.do?num=250346&filenum=2&dtime=20240503070237,교육부 boardSeq 페이지 삭제 → KDI EIEC 정책자료 미러 PDF로 변경. 교실혁명 선도교사 1만 명 양성 + 예산 3818억원 계획
Korea,KR,ko,KR-04,모두를 위한 인공지능(AI) 인재양성 방안 (AI for All) — 정책브리핑,대한민국 정책브리핑 (정부),2025-11-10,post,strategy,html,https://www.korea.kr/briefing/policyBriefingView.do?newsId=156727284,교육부 boardSeq 페이지 삭제 → korea.kr 정책브리핑으로 변경. 사용자가 PNG 이미지(KR-04_pressrelease.png)도 백업 보관
Korea,KR,ko,KR-05,2026년 교육부 업무계획,교육부 (Ministry of Education),2025-12-12,post,strategy,pdf,https://www.moe.go.kr/upload/filedown/2026_business_plan_press_release.pdf,K교육 AI 개발 + 보편적 AI 교육 확대. 직접 PDF URL
UK,GB,en,GB-01,Generative AI in education: policy paper,UK Department for Education,2023-10-26,pre,guidance,html,https://www.gov.uk/government/publications/generative-artificial-intelligence-in-education,학교 AI 활용 가이드라인
UK,GB,en,GB-02,National AI Strategy,UK Office for AI (Government),2021-09-22,pre,strategy,html,https://www.gov.uk/government/publications/national-ai-strategy,교육 챕터 포함
UK,GB,en,GB-03,Generative AI in education: call for evidence response,UK Department for Education,2024-11,post,guidance,html,https://www.gov.uk/government/consultations/generative-artificial-intelligence-in-education-call-for-evidence,post-Sept 2024 후속 가이드라인
UK,GB,en,GB-04,Generative AI: product safety expectations,UK Department for Education,2025-01-22,post,guidance,html,https://www.gov.uk/government/publications/generative-ai-product-safety-expectations/generative-ai-product-safety-expectations,DfE GenAI 안전성 표준; PDF 미러 https://dera.ioe.ac.uk/id/eprint/41041/1/Generative%20AI%20product%20safety%20expectations%20-%20GOV.UK.pdf
Singapore,SG,en,SG-01,National AI Strategy 2.0,Smart Nation Group,2023-12-04,pre,strategy,pdf,https://file.go.gov.sg/nais2023.pdf,파일명 정정: nais2 → nais2023. 1차 다운로드 403 → curl이 막힐 경우 브라우저로
Singapore,SG,en,SG-02,EdTech Masterplan 2030 (Transforming Education through Technology),Singapore Ministry of Education,2023-09,pre,strategy,html,https://www.moe.gov.sg/education-in-sg/educational-technology-journey/edtech-masterplan,URL 정정: PDF 직접 링크 404 → landing page로 변경. html 추출
Singapore,SG,en,SG-03,Artificial Intelligence in Education (MOE EdTech Masterplan 2030 page),Singapore Ministry of Education,2024,post,guidance,html,https://www.moe.gov.sg/education-in-sg/educational-technology-journey/edtech-masterplan/artificial-intelligence-in-education,URL 정정: press-release 404 → EdTech Masterplan AI 섹션으로 변경. 본 페이지가 MOE의 공식 AI 정책 settings
Finland,FI,en,FI-01,AI Guide for Teachers: Digital Information Literacy,Finnish National Agency for Education (Opetushallitus / EDUFI),2023,pre,guidance,pdf,https://www.oph.fi/sites/default/files/documents/AI_Guide_for_Teachers_Digital_Information_Literacy.pdf,FI-01 교체: Finland AI Programme 4.0이 기업 중심이라 교육 코퍼스로 부적합. OPH AI Guide for Teachers로 대체
Finland,FI,en,FI-02,Artificial intelligence in education — legislation and recommendations,Finnish National Agency for Education (Opetushallitus),2025-03,post,guidance,html,https://www.oph.fi/en/artificial-intelligence-education-legislation-and-recommendations,URL 정정: 2023 news page 404 → 2025-03 공식 권고안 페이지로 변경. cohort: pre → post (2025-03 발표). Mar 2025
Finland,FI,en,FI-03,Background material: AI and ethics in education,Finnish National Agency for Education (Opetushallitus),2024,post,guidance,html,https://www.oph.fi/en/teemat-ja-kehittaminen/backround-material-ai-and-ethics-education,"OPH 윤리 가이드, 2024 fall 공개"
Finland,FI,en,FI-04,Recommendations for artificial intelligence (OKM project page),Finnish Ministry of Education and Culture (OKM),2024,post,strategy,html,MANUAL:https://okm.fi/en/project?tunnus=OKM021%3A00%2F2024,⚠ okm.fi가 scripted curl 차단 (403). 브라우저로 열어 페이지 저장(.html) → FI-04.html
US,US,en,US-01,National AI Initiative Act of 2020 — Education provisions,United States Congress / White House OSTP,2020-12,pre,legislation,pdf,https://www.congress.gov/116/plaws/publ283/PLAW-116publ283.pdf,"federal 수준, 교육 조항 발췌"
US,US,en,US-02,Artificial Intelligence and the Future of Teaching and Learning,US Department of Education Office of Educational Technology,2023-05,pre,report,pdf,https://www.ed.gov/sites/ed/files/documents/ai-report/ai-report.pdf,URL 정정: tech.ed.gov → ed.gov (도메인 reorg). 교육부 공식 AI 보고서
US,US,en,US-03,Executive Order 14277: Advancing AI Education for American Youth,The White House,2025-04-23,post,executive_order,html,https://www.whitehouse.gov/presidential-actions/2025/04/advancing-artificial-intelligence-education-for-american-youth/,Trump 행정부 EO; AI 교육 K-12 + 워크포스 + Presidential AI Challenge
