anchor_id,aspect,level,block_name,anchor_sentence,status,source
AILIT-S01,Human-centred mindset,Understand,Human agency,"Students are expected to be able to recognize that AI is human-led and that the decisions of AI creators influence the way in which AI systems impact human rights, human–AI interaction, as well as their own lives and societies. They are expected to understand the implications of protecting human agency throughout the design, provision and use of AI.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S02,Human-centred mindset,Apply,Human accountability,"Students are expected to recognize that human accountabilities are the legal obligations of AI creators and AI service providers, and to understand what human accountabilities they should assume during the design and use of AI. They should also develop an awareness that human accountability is a legal and social responsibility when using AI to assist in decision-making, and that human choice should not be ceded to AI when making high-stakes decisions.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S03,Human-centred mindset,Create,Citizenship in the AI era,"Students are expected to critically understand the impact of AI on human societies and to promote responsible and inclusive design and use of AI for sustainable development. They should have an awareness of their civic and social responsibility as citizens in the era of AI.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S04,Ethics of AI,Understand,Embodied ethics,"Students are expected to develop a basic understanding of the issues underlying key ethical debates around AI, including the impact of AI on human rights, social justice, inclusion, equity and climate change within their local context and personal lives.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S05,Ethics of AI,Apply,Safe and responsible use,"Students are expected to be able to use AI in a responsible manner in compliance with ethical principles and locally applicable regulations. They are aware of the risks of disclosing data privacy and they take measures to ensure that their data are collected, used, shared, archived and deleted only with their deliberate and informed consent.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S06,Ethics of AI,Create,Ethics by design,"Students are expected to adopt an ethics-by-design approach to the design, assessment and use of AI tools, as well as to the review and adaptation of AI regulations. Students are aware that assessing the intent behind AI design involves examining all steps of the AI life cycle, starting with the stage of conceptualization.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S07,AI techniques and applications,Understand,AI foundations,"Students are expected to be able to build basic knowledge and skills on AI, particularly with respect to data and algorithms, understanding the importance of the interdisciplinary foundational knowledge required to gradually deepen understanding of data and algorithms.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S08,AI techniques and applications,Apply,Application skills,"Students are expected to be able to construct an age-appropriate understanding of data, AI algorithms and programming, as well as acquire transferable application skills. Students are expected to be able to critically evaluate and leverage free and/or open-source AI tools, programming libraries and datasets.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S09,AI techniques and applications,Create,Creating AI tools,"Students are expected to be able to deepen and apply knowledge and skills on data and algorithms to customize existing AI toolkits to create task-based AI tools. Students are expected to integrate their human-centred mindset and ethical considerations into the assessment of existing AI resources.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S10,AI system design,Understand,Problem scoping,"Students are expected to be able to understand the importance of AI problem scoping as the starting point for AI innovation. They are expected to be able to examine whether AI should be used in particular situations, from a legal, ethical and logical perspective; and to define the boundaries, goals and constraints of a problem before attempting to train an AI model to solve it.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S11,AI system design,Apply,Architecture design,"Students are expected to be able to cultivate basic methodological knowledge and technical skills to configure a scalable, maintainable and reusable architecture for an AI system covering layers of data, algorithms, models and application interfaces. Students are expected to develop the interdisciplinary skills necessary to leverage datasets, programming tools and computational resources to construct a prototype AI system.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
AILIT-S12,AI system design,Create,Iteration and feedback,"Students are expected to enhance and apply their interdisciplinary knowledge and practical methods to evaluate the appropriateness and methodological robustness of an AI model and its impact on individual users, societies and the environment. They should be able to acquire age-appropriate technical skills to improve the quality of datasets, reconfigure algorithms and enhance architectures in response to results of tests and feedback.",verbatim,"UNESCO (2024) AI Competency Framework for Students, §3.3"
