country,iso2,language,doc_id,document_title,issuing_body,publication_date,unesco_cohort,genre,format,url,notes
Korea,KR,ko,KR-01,디지털 기반 교육혁신 방안,교육부 (Ministry of Education),2023-02-23,pre,strategy,pdf,https://webst.edunet.net/AIDT/%EB%94%94%EC%A7%80%ED%84%B8%20%EA%B8%B0%EB%B0%98%20%EA%B5%90%EC%9C%A1%ED%98%81%EC%8B%A0%20%EB%B0%A9%EC%95%88.pdf,Sprint 0 pilot — EduNet mirror
Korea,KR,ko,KR-02,교육부 고시 제2022-33호 — 초·중등학교 교육과정 총론 (별책 1),교육부 (Ministry of Education),2022-12-22,pre,curriculum,pdf,https://ezentextbook.co.kr/data/skin/respon_default/doc/2022_edu_pdf01.pdf,Sprint 0 pilot — ezentextbook mirror
Korea,KR,ko,KR-03,디지털 기반 교육혁신 역량 강화 지원방안 (교실혁명 선도교사 사업),교육부 (Ministry of Education),2024-04-15,post,teacher_pd,pdf,https://eiec.kdi.re.kr/policy/callDownload.do?num=250346&filenum=2&dtime=20240503070237,Sprint 0 pilot — KDI EIEC mirror
Korea,KR,ko,KR-04,모두를 위한 인공지능(AI) 인재양성 방안 (AI for All) — 정책브리핑,대한민국 정책브리핑,2025-11-10,post,strategy,html,https://www.korea.kr/briefing/policyBriefingView.do?newsId=156727284,Sprint 0 pilot
Korea,KR,ko,KR-05,2026년 교육부 업무계획,교육부 (Ministry of Education),2025-12-12,post,strategy,pdf,https://www.moe.go.kr/upload/filedown/2026_business_plan_press_release.pdf,Sprint 0 pilot
UK,GB,en,GB-01_full,Generative AI in education — full body,UK Department for Education,2023-10-26,pre,guidance,html,https://www.gov.uk/government/publications/generative-artificial-intelligence-in-education/generative-artificial-intelligence-ai-in-education,Sprint 0 pilot
UK,GB,en,GB-02_full,National AI Strategy — full HTML body,UK Office for AI,2021-09-22,pre,strategy,html,https://www.gov.uk/government/publications/national-ai-strategy/national-ai-strategy-html-version,Sprint 0 pilot
UK,GB,en,GB-03,Generative AI in education call for evidence,UK Department for Education,2024-11,post,guidance,html,https://www.gov.uk/government/consultations/generative-artificial-intelligence-in-education-call-for-evidence,Sprint 0 pilot — call-for-evidence summary
UK,GB,en,GB-04_full,Generative AI product safety expectations,UK Department for Education,2025-01-22,post,guidance,html,https://www.gov.uk/government/publications/generative-ai-product-safety-expectations/generative-ai-product-safety-expectations,Sprint 0 pilot
Singapore,SG,en,SG-01,National AI Strategy 2.0,Smart Nation Group,2023-12-04,pre,strategy,pdf,https://file.go.gov.sg/nais2023.pdf,Sprint 0 pilot
Singapore,SG,en,SG-02,EdTech Masterplan 2030,Singapore Ministry of Education,2023-09,pre,strategy,html,https://www.moe.gov.sg/education-in-sg/educational-technology-journey/edtech-masterplan,Sprint 0 pilot
Singapore,SG,en,SG-03,Artificial Intelligence in Education (MOE),Singapore Ministry of Education,2024,post,guidance,html,https://www.moe.gov.sg/education-in-sg/educational-technology-journey/edtech-masterplan/artificial-intelligence-in-education,Sprint 0 pilot
